video,condition,true_val,blockiness,zero_dct_ratio,grid_std,brisque
000000.mp4,clean,0,0.142305,0.772441,1.331322,52.6296
000000.mp4,h264_crf18,18,0.152211,0.740294,1.358569,49.1784
000000.mp4,h264_crf23,23,0.148803,0.771245,1.302865,52.1711
000000.mp4,h264_crf28,28,0.153539,0.785914,1.18838,51.8493
000000.mp4,h264_crf33,33,0.160418,0.797393,1.145254,54.9318
000000.mp4,h264_crf38,38,0.16881,0.802575,1.072712,55.5295
000000.mp4,h264_crf43,43,0.21413,0.81826,1.091346,58.1735
000000.mp4,jpeg_q30,30,0.347991,0.949298,1.000374,56.6769
000000.mp4,jpeg_q60,60,0.24902,0.932557,1.084139,53.841
000000.mp4,jpeg_q90,90,0.163667,0.871692,1.285279,53.6657
000001.mp4,clean,0,0.141864,0.770986,1.473996,49.5988
000001.mp4,h264_crf18,18,0.154113,0.740354,1.455486,46.6359
000001.mp4,h264_crf23,23,0.148653,0.771205,1.452463,49.3683
000001.mp4,h264_crf28,28,0.144516,0.786492,1.388679,49.1301
000001.mp4,h264_crf33,33,0.152976,0.791374,1.26651,52.3937
000001.mp4,h264_crf38,38,0.172805,0.794364,1.249584,53.4963
000001.mp4,h264_crf43,43,0.204453,0.809052,1.34234,57.5685
000001.mp4,jpeg_q30,30,0.344271,0.949597,1.060826,58.9479
000001.mp4,jpeg_q60,60,0.243291,0.932557,1.177289,52.113
000001.mp4,jpeg_q90,90,0.164247,0.871931,1.400865,51.821
000002.mp4,clean,0,0.147384,0.766462,1.38041,48.2243
000002.mp4,h264_crf18,18,0.154623,0.74155,1.380448,46.0856
000002.mp4,h264_crf23,23,0.143909,0.773657,1.32084,49.7111
000002.mp4,h264_crf28,28,0.150169,0.795819,1.192501,52.0759
000002.mp4,h264_crf33,33,0.151836,0.79544,1.238403,54.3566
000002.mp4,h264_crf38,38,0.16821,0.795879,1.188447,53.006
000002.mp4,h264_crf43,43,0.206193,0.805664,1.052163,55.8771
000002.mp4,jpeg_q30,30,0.367447,0.951152,1.063728,57.9728
000002.mp4,jpeg_q60,60,0.252763,0.934132,1.11085,53.2165
000002.mp4,jpeg_q90,90,0.174061,0.871751,1.294736,51.0427
000003.mp4,clean,0,0.141623,0.770747,1.296991,47.3869
000003.mp4,h264_crf18,18,0.157633,0.737185,1.362381,45.715
000003.mp4,h264_crf23,23,0.154564,0.772481,1.296285,49.3483
000003.mp4,h264_crf28,28,0.156379,0.787847,1.238692,50.611
000003.mp4,h264_crf33,33,0.153791,0.796476,1.163008,53.3049
000003.mp4,h264_crf38,38,0.16833,0.794264,1.206913,53.9865
000003.mp4,h264_crf43,43,0.221689,0.810308,1.138477,53.9177
