video,codec,crf,ok,bitrate,size,psnr
000000.mp4,h264,18,1,137222,78903,
000000.mp4,h264,28,1,45803,26337,
000000.mp4,h264,38,1,17363,9984,
000000.mp4,hevc,18,1,122217,70275,
000000.mp4,hevc,28,1,42349,24351,
000000.mp4,hevc,38,1,20721,11915,
000000.mp4,av1,20,1,104304,59975,
000000.mp4,av1,30,1,64751,37232,
000000.mp4,av1,40,1,38326,22038,
000001.mp4,h264,18,1,117831,60683,
000001.mp4,h264,28,1,37780,19457,
000001.mp4,h264,38,1,15100,7777,
000001.mp4,hevc,18,1,104454,53794,
000001.mp4,hevc,28,1,37163,19139,
000001.mp4,hevc,38,1,19687,10139,
000001.mp4,av1,20,1,88774,45719,
000001.mp4,av1,30,1,55992,28836,
000001.mp4,av1,40,1,34246,17637,
000002.mp4,h264,18,1,98556,57163,
000002.mp4,h264,28,1,33232,19275,
000002.mp4,h264,38,1,14036,8141,
000002.mp4,hevc,18,1,87572,50792,
000002.mp4,hevc,28,1,33089,19192,
000002.mp4,hevc,38,1,18432,10691,
000002.mp4,av1,20,1,75348,43702,
000002.mp4,av1,30,1,48684,28237,
000002.mp4,av1,40,1,30937,17944,
000003.mp4,h264,18,1,99392,52181,
000003.mp4,h264,28,1,34784,18262,
000003.mp4,h264,38,1,14455,7589,
000003.mp4,hevc,18,1,90889,47717,
000003.mp4,hevc,28,1,34716,18226,
000003.mp4,hevc,38,1,19350,10159,
000003.mp4,av1,20,1,79459,41716,
000003.mp4,av1,30,1,51005,26778,
000003.mp4,av1,40,1,31965,16782,
000004.mp4,h264,18,1,99178,56532,
000004.mp4,h264,28,1,33119,18878,
000004.mp4,h264,38,1,13970,7963,
000004.mp4,hevc,18,1,85877,48950,
000004.mp4,hevc,28,1,32843,18721,
000004.mp4,hevc,38,1,18771,10700,
000004.mp4,av1,20,1,76000,43320,
000004.mp4,av1,30,1,48694,27756,
000004.mp4,av1,40,1,30971,17654,
