video,split,codec,crf,ok,bitrate,size
860_905.mp4,Deepfakes,h264,18,1,8548133,16348306
860_905.mp4,Deepfakes,h264,28,1,2042496,3906274
860_905.mp4,Deepfakes,h264,38,1,617768,1181483
860_905.mp4,Deepfakes,hevc,18,1,1016300,1943675
860_905.mp4,Deepfakes,hevc,28,1,314743,601947
860_905.mp4,Deepfakes,hevc,38,1,127799,244417
860_905.mp4,Deepfakes,av1,20,1,1839816,3518649
860_905.mp4,Deepfakes,av1,30,1,1015396,1941946
860_905.mp4,Deepfakes,av1,40,1,520081,994655
861_858.mp4,Deepfakes,h264,18,1,3145936,9343431
861_858.mp4,Deepfakes,h264,28,1,1209647,3592653
861_858.mp4,Deepfakes,h264,38,1,368653,1094900
861_858.mp4,Deepfakes,hevc,18,1,979268,2908428
861_858.mp4,Deepfakes,hevc,28,1,280400,832790
861_858.mp4,Deepfakes,hevc,38,1,85134,252848
861_858.mp4,Deepfakes,av1,20,1,2025362,6015328
861_858.mp4,Deepfakes,av1,30,1,1014962,3014440
861_858.mp4,Deepfakes,av1,40,1,488190,1449925
862_047.mp4,Deepfakes,h264,18,1,4876366,9549552
862_047.mp4,Deepfakes,h264,28,1,1371262,2685390
862_047.mp4,Deepfakes,h264,38,1,411755,806355
862_047.mp4,Deepfakes,hevc,18,1,727921,1425512
862_047.mp4,Deepfakes,hevc,28,1,201873,395336
862_047.mp4,Deepfakes,hevc,38,1,74531,145958
862_047.mp4,Deepfakes,av1,20,1,1291501,2529191
862_047.mp4,Deepfakes,av1,30,1,691675,1354531
862_047.mp4,Deepfakes,av1,40,1,333566,653235
863_853.mp4,Deepfakes,h264,18,1,4767613,10190774
863_853.mp4,Deepfakes,h264,28,1,1349620,2884814
863_853.mp4,Deepfakes,h264,38,1,363389,776745
863_853.mp4,Deepfakes,hevc,18,1,789765,1688124
863_853.mp4,Deepfakes,hevc,28,1,241470,516143
863_853.mp4,Deepfakes,hevc,38,1,91069,194660
863_853.mp4,Deepfakes,av1,20,1,1178441,2518919
863_853.mp4,Deepfakes,av1,30,1,604536,1292196
863_853.mp4,Deepfakes,av1,40,1,287653,614859
864_839.mp4,Deepfakes,h264,18,1,2515200,4099776
864_839.mp4,Deepfakes,h264,28,1,883236,1439676
864_839.mp4,Deepfakes,h264,38,1,252511,411593
864_839.mp4,Deepfakes,hevc,18,1,589954,961626
864_839.mp4,Deepfakes,hevc,28,1,154401,251674
864_839.mp4,Deepfakes,hevc,38,1,50248,81905
864_839.mp4,Deepfakes,av1,20,1,914486,1490613
864_839.mp4,Deepfakes,av1,30,1,520189,847909
864_839.mp4,Deepfakes,av1,40,1,259345,422733
865_739.mp4,Deepfakes,h264,18,1,13957128,10089840
865_739.mp4,Deepfakes,h264,28,1,3421730,2473626
865_739.mp4,Deepfakes,h264,38,1,1001245,723817
865_739.mp4,Deepfakes,hevc,18,1,1959838,1416800
865_739.mp4,Deepfakes,hevc,28,1,491695,355455
865_739.mp4,Deepfakes,hevc,38,1,206260,149109
865_739.mp4,Deepfakes,av1,20,1,3528546,2550845
865_739.mp4,Deepfakes,av1,30,1,1698067,1227561
