source,codec,kbps,feat_l2_rel,mel_cos,ser_agree
03-01-01-01-01-01-01.wav,aac,32,0.023771,0.956784,1
03-01-01-01-01-01-01.wav,aac,64,0.006676,0.998089,1
03-01-01-01-01-01-01.wav,aac,128,0.003106,0.999942,1
03-01-01-01-01-01-01.wav,opus,32,0.012443,0.998672,1
03-01-01-01-01-01-01.wav,opus,64,0.007705,0.999597,1
03-01-01-01-01-01-01.wav,opus,128,0.004732,0.999832,1
03-01-01-01-01-01-01.wav,mp3,64,0.006771,0.999613,1
03-01-01-01-01-01-01.wav,mp3,128,0.006214,0.999989,1
03-01-01-01-01-01-01.wav,mp3,256,0.002537,1.0,1
03-01-01-01-01-02-01.wav,aac,32,0.012447,0.995581,1
03-01-01-01-01-02-01.wav,aac,64,0.008672,0.999089,1
03-01-01-01-01-02-01.wav,aac,128,0.003627,0.999953,1
03-01-01-01-01-02-01.wav,opus,32,0.013123,0.998026,1
03-01-01-01-01-02-01.wav,opus,64,0.008119,0.999606,1
03-01-01-01-01-02-01.wav,opus,128,0.005116,0.999783,1
03-01-01-01-01-02-01.wav,mp3,64,0.006872,0.999466,1
03-01-01-01-01-02-01.wav,mp3,128,0.006509,0.999994,1
03-01-01-01-01-02-01.wav,mp3,256,0.002856,1.0,1
03-01-01-01-02-01-01.wav,aac,32,0.017709,0.989051,1
03-01-01-01-02-01-01.wav,aac,64,0.008424,0.998893,1
03-01-01-01-02-01-01.wav,aac,128,0.00235,0.999982,1
03-01-01-01-02-01-01.wav,opus,32,0.011796,0.998601,1
03-01-01-01-02-01-01.wav,opus,64,0.006044,0.999605,1
03-01-01-01-02-01-01.wav,opus,128,0.003885,0.999928,1
03-01-01-01-02-01-01.wav,mp3,64,0.005707,0.999392,1
03-01-01-01-02-01-01.wav,mp3,128,0.006852,0.999996,1
03-01-01-01-02-01-01.wav,mp3,256,0.001952,1.0,1
03-01-01-01-02-02-01.wav,aac,32,0.013921,0.99638,1
03-01-01-01-02-02-01.wav,aac,64,0.009215,0.998869,1
03-01-01-01-02-02-01.wav,aac,128,0.002542,0.999979,1
03-01-01-01-02-02-01.wav,opus,32,0.010608,0.996053,1
03-01-01-01-02-02-01.wav,opus,64,0.006953,0.999615,0
03-01-01-01-02-02-01.wav,opus,128,0.004846,0.999878,0
03-01-01-01-02-02-01.wav,mp3,64,0.006905,0.999518,1
03-01-01-01-02-02-01.wav,mp3,128,0.006715,0.999984,1
03-01-01-01-02-02-01.wav,mp3,256,0.002344,1.0,1
03-01-02-01-01-01-01.wav,aac,32,0.014085,0.996435,1
03-01-02-01-01-01-01.wav,aac,64,0.007372,0.999381,1
03-01-02-01-01-01-01.wav,aac,128,0.002825,0.999967,1
03-01-02-01-01-01-01.wav,opus,32,0.011503,0.996509,1
03-01-02-01-01-01-01.wav,opus,64,0.006594,0.999511,1
03-01-02-01-01-01-01.wav,opus,128,0.00414,0.999819,1
03-01-02-01-01-01-01.wav,mp3,64,0.005371,0.999543,1
03-01-02-01-01-01-01.wav,mp3,128,0.006049,0.999995,1
03-01-02-01-01-01-01.wav,mp3,256,0.00294,1.0,1
03-01-02-01-01-02-01.wav,aac,32,0.057738,0.998367,0
03-01-02-01-01-02-01.wav,aac,64,0.008507,0.998707,1
03-01-02-01-01-02-01.wav,aac,128,0.003373,0.999979,1
03-01-02-01-01-02-01.wav,opus,32,0.01514,0.998811,1
03-01-02-01-01-02-01.wav,opus,64,0.008886,0.998973,1
03-01-02-01-01-02-01.wav,opus,128,0.005058,0.999467,1
03-01-02-01-01-02-01.wav,mp3,64,0.008267,0.999127,1
03-01-02-01-01-02-01.wav,mp3,128,0.006418,0.999991,1
03-01-02-01-01-02-01.wav,mp3,256,0.002448,1.0,1
03-01-02-01-02-01-01.wav,aac,32,0.016733,0.992539,1
03-01-02-01-02-01-01.wav,aac,64,0.010121,0.998989,1
03-01-02-01-02-01-01.wav,aac,128,0.003861,0.999951,1
03-01-02-01-02-01-01.wav,opus,32,0.01368,0.995723,1
03-01-02-01-02-01-01.wav,opus,64,0.008338,0.999427,1
03-01-02-01-02-01-01.wav,opus,128,0.005588,0.999905,1
03-01-02-01-02-01-01.wav,mp3,64,0.007322,0.999493,1
03-01-02-01-02-01-01.wav,mp3,128,0.00615,0.999996,1
03-01-02-01-02-01-01.wav,mp3,256,0.003413,1.0,1
03-01-02-01-02-02-01.wav,aac,32,0.013067,0.990815,1
03-01-02-01-02-02-01.wav,aac,64,0.005436,0.999511,1
03-01-02-01-02-02-01.wav,aac,128,0.003503,0.999918,1
03-01-02-01-02-02-01.wav,opus,32,0.012672,0.998097,1
03-01-02-01-02-02-01.wav,opus,64,0.007379,0.999554,1
03-01-02-01-02-02-01.wav,opus,128,0.004626,0.999908,1
03-01-02-01-02-02-01.wav,mp3,64,0.00638,0.999109,1
03-01-02-01-02-02-01.wav,mp3,128,0.006278,0.999988,1
03-01-02-01-02-02-01.wav,mp3,256,0.002776,1.0,1
03-01-02-02-01-01-01.wav,aac,32,0.014266,0.993372,1
03-01-02-02-01-01-01.wav,aac,64,0.009345,0.999323,1
03-01-02-02-01-01-01.wav,aac,128,0.004222,0.999939,1
03-01-02-02-01-01-01.wav,opus,32,0.012326,0.994899,1
03-01-02-02-01-01-01.wav,opus,64,0.007751,0.999361,1
03-01-02-02-01-01-01.wav,opus,128,0.005346,0.999829,1
03-01-02-02-01-01-01.wav,mp3,64,0.006208,0.999535,1
03-01-02-02-01-01-01.wav,mp3,128,0.006272,0.99999,1
03-01-02-02-01-01-01.wav,mp3,256,0.004436,1.0,1
03-01-02-02-01-02-01.wav,aac,32,0.019696,0.987729,1
03-01-02-02-01-02-01.wav,aac,64,0.008951,0.999579,1
03-01-02-02-01-02-01.wav,aac,128,0.003365,0.999982,1
03-01-02-02-01-02-01.wav,opus,32,0.018944,0.99608,1
03-01-02-02-01-02-01.wav,opus,64,0.009567,0.999184,1
03-01-02-02-01-02-01.wav,opus,128,0.005654,0.999872,1
03-01-02-02-01-02-01.wav,mp3,64,0.006971,0.999496,1
03-01-02-02-01-02-01.wav,mp3,128,0.007174,0.999997,1
03-01-02-02-01-02-01.wav,mp3,256,0.003356,1.0,1
03-01-02-02-02-01-01.wav,aac,32,0.021392,0.997076,0
03-01-02-02-02-01-01.wav,aac,64,0.012013,0.999508,0
03-01-02-02-02-01-01.wav,aac,128,0.005779,0.999938,1
03-01-02-02-02-01-01.wav,opus,32,0.018556,0.995484,0
03-01-02-02-02-01-01.wav,opus,64,0.009052,0.999442,0
03-01-02-02-02-01-01.wav,opus,128,0.007512,0.999884,0
03-01-02-02-02-01-01.wav,mp3,64,0.007345,0.999531,0
03-01-02-02-02-01-01.wav,mp3,128,0.007747,0.999993,1
03-01-02-02-02-01-01.wav,mp3,256,0.005918,1.0,1
03-01-02-02-02-02-01.wav,aac,32,0.023009,0.990253,0
